sub_id,trial,text,gpt_label
A11244HS4DZOVL,2,I think this man is having a bad day but lucky to be alive.,Reappraisal
A1143GKN5T807X,19,Crap!  I can't believe the ketchup bottle exploded like that.,Reappraisal
A1154EZYFNAZUS,20,He looks horrified and injured. Something bad likely happened.,Non-reappraisal
A117NCPBK9USJL,18,"assassination attempt, didn't work. now he's mad and coming after his assailant.",Reappraisal
A118KQORTQPWYY,12,I am hopeful this man can get help since he is alert,Reappraisal
A11FHRIUGW7NFB,1,I am shocked at how much blood he is losing and fearful of what happened,Non-reappraisal
A08218322NEN84JFHLRO8,3,FEar for my life,Non-reappraisal
A094612415T5EHTYKXTQ,7,Definitely scary and unpredictable to be faced with such anger.,Non-reappraisal
A10FNV58WR3D0G,16,This is a close-up from a scene in a crime movie...harmless.,Reappraisal
A10LHWALI4BZPC,3,I would be very scared to have this pointed at me.,Non-reappraisal
A10NDRBWGT78R2,11,held up at gun point. duck run or hide,Non-reappraisal
A10WZ8GK49KCJ1,2,I imagine what it would be like to be looking at this in real life. How scared i would be,Non-reappraisal
A11244HS4DZOVL,9,This is a cool image actually. Nobody is hurt or injured.,Reappraisal
A1143GKN5T807X,18,Stick'em up!,Non-reappraisal
A1154EZYFNAZUS,15,Looks like he intends violence. But it could be the cover of a movie.,Reappraisal
A117NCPBK9USJL,14,You won't do it. You don't have it in you. Look at your eyes little boy.,Reappraisal
A08218322NEN84JFHLRO8,12,angure for their life. a kidnapping,Non-reappraisal
A094612415T5EHTYKXTQ,11,Those classes paid off.,Reappraisal
A10FNV58WR3D0G,8,This could be a self-defense video.,Reappraisal
A10G8U9316K46H,4,"aw i feel bad for them, that looks painful",Non-reappraisal
A10NDRBWGT78R2,19,attempting kidnapping. always was my biggest fear growing up,Non-reappraisal
A10WZ8GK49KCJ1,10,I don't feel much of anything. Hard to see what's going on,Non-reappraisal
A11244HS4DZOVL,10,It looks like they could be playing or fake wrestling. Maybe its not what it appears to be.,Reappraisal
A1143GKN5T807X,3,They are playfully wrestling...big brothers are so fun.,Reappraisal
A1154EZYFNAZUS,4,It looks like he is trying to kidnap her.,Non-reappraisal
A117NCPBK9USJL,10,No means no dude! She's not interested! I'd punch him.,Non-reappraisal
A08218322NEN84JFHLRO8,18,fun watching a fight on tv ha,Reappraisal
A094612415T5EHTYKXTQ,14,I took this punch like a pro.  It only hurt for a few days.,Reappraisal
A10FNV58WR3D0G,9,"This is a scene from the movie ""raging bull.""",Reappraisal
A10G8U9316K46H,5,"they look abused, hope they find help",Reappraisal
A10NDRBWGT78R2,7,boxing matches are exciting but scary thriller also. hurt,Non-reappraisal
A10WZ8GK49KCJ1,20,"I feel bad for the guy getting hit, but that's boxing",Non-reappraisal
A11244HS4DZOVL,6,"It looks like a bad hit, but it looks like a planned event so they knew what the risks were for participating.",Reappraisal
A1143GKN5T807X,6,"If you this looks bad, you see the other guy.",Non-reappraisal
A1154EZYFNAZUS,14,"A boxing match, but this guy is getting hurt.",Non-reappraisal
A117NCPBK9USJL,19,"THAT WAS A REAL SLOBBER KNOCKER, J R! Ouch. 2 participants checked out",Reappraisal
A08218322NEN84JFHLRO8,14,"scarey for this persons life, i hope this is a stunt",Reappraisal
A094612415T5EHTYKXTQ,16,"Hopefully, he was wearing protective gear.",Reappraisal
A10FNV58WR3D0G,5,This is most likely a stunt.,Reappraisal
A10LHWALI4BZPC,9,"I hope he's wearing a firesuit, otherwise this is very painful and deadly.",Reappraisal
A10NDRBWGT78R2,20,fire stop drop and roll get off that bike fast buddy,Non-reappraisal
A10WZ8GK49KCJ1,6,This is hard to look at. I can't imagine what that person feels like,Non-reappraisal
A11244HS4DZOVL,3,This looks terrible and painful. I would not want to be this guy. But maybe it is a planned stunt.,Reappraisal
A1143GKN5T807X,4,Wow what a cool image.  Fire-retardant clothes are amazing.,Reappraisal
A1154EZYFNAZUS,6,"A stunt, maybe, but that is pretty extreme.",Reappraisal
A117NCPBK9USJL,9,"me irl trying to get through the day. life is pain, but you keep going.",Reappraisal
A08218322NEN84JFHLRO8,5,Pain why would do this for vanity or your culture,Non-reappraisal
A094612415T5EHTYKXTQ,15,I'm going to regret that last beer.,Non-reappraisal
A10FNV58WR3D0G,13,This is traditional jewelry for the men of this tribe.,Reappraisal
A10G8U9316K46H,10,"this looks like kidnapping, hope they are okay now",Reappraisal
A10NDRBWGT78R2,16,cultures are all unique. Possibly a traditional cerem,Reappraisal
A10WZ8GK49KCJ1,8,This is strange but not really upsetting. It looks intentional,Reappraisal
A11244HS4DZOVL,20,"This is disgusting. A terrible punishment, but he seems okay for the most part.",Non-reappraisal
A1143GKN5T807X,9,Is this special effects for a movie?  That takes real talent.,Reappraisal
A1154EZYFNAZUS,16,That looks painful! And he looks like he is crying.,Non-reappraisal
A117NCPBK9USJL,17,You're really stupid. Why do that to yourself?,Non-reappraisal
A08218322NEN84JFHLRO8,20,fear and sadness for these peoples lives,Non-reappraisal
A094612415T5EHTYKXTQ,4,Horrible and scary.,Non-reappraisal
A10FNV58WR3D0G,19,"Amazing, everyone survived!",Reappraisal
A10G8U9316K46H,8,"this is very disturbing, hope they are doing fine.",Non-reappraisal
A10LHWALI4BZPC,1,It looks like a plane crash. Hopefully everyone is okay and nobody died.,Reappraisal
A10NDRBWGT78R2,4,plane crash are scary. reminds me of 9/11 maybe,Non-reappraisal
A10WZ8GK49KCJ1,18,I feel terrible as this looks like a deadly airplane crash,Non-reappraisal
A11244HS4DZOVL,19,It looks like people were able to escape from this plane. Hopefully nobody died.,Reappraisal
A1143GKN5T807X,13,Thank God they all got out.,Reappraisal
A1154EZYFNAZUS,1,A tragedy occurred here. People a,Non-reappraisal
A08218322NEN84JFHLRO8,8,fear of being burned up int his deadly fire,Non-reappraisal
A094612415T5EHTYKXTQ,5,This is what will kill us all.  Poisonous!,Non-reappraisal
A10FNV58WR3D0G,4,This is a clean-up from a chemical fire to help th,Reappraisal
A10G8U9316K46H,6,"this is seriously pretty awful, feeling sad",Non-reappraisal
A10NDRBWGT78R2,3,"natural disaster, bush fires are scary horrible",Non-reappraisal
A10WZ8GK49KCJ1,5,This looks frightening to be around,Non-reappraisal
A11244HS4DZOVL,14,This looks like a movie set. At least people have protective gear and seem to be doing okay.,Reappraisal
A1143GKN5T807X,20,I loved this scene from my favorite movie.,Reappraisal
A1154EZYFNAZUS,7,They are cleaning up hazardous waste. Look at the suits. Can't be good.,Non-reappraisal
A117NCPBK9USJL,7,hey bro you stepped in some dog p,Non-reappraisal
A08218322NEN84JFHLRO8,1,I feel fear for this man in this whole is he dead,Non-reappraisal
A094612415T5EHTYKXTQ,20,This is what is normal in that land.,Reappraisal
A10FNV58WR3D0G,1,This could be the cultural way to bury their dea,Reappraisal
A10NDRBWGT78R2,8,burrying a dead body back in the day. never forget this pt,Non-reappraisal
A10WZ8GK49KCJ1,16,"I feel bad, someone had clearly died and being burried",Non-reappraisal
A11244HS4DZOVL,11,"I think that this could be a set and not real, but if it is I feel sad for this man. At least he can be burried.",Reappraisal
A1143GKN5T807X,1,This man is saving his family the expense of a funeral.,Reappraisal
A1154EZYFNAZUS,12,They are burying a body in a shallow grave.,Non-reappraisal
A117NCPBK9USJL,2,"Burning a man alive, unmarked grave, very sad.",Non-reappraisal
A118KQORTQPWYY,8,I hope this man is ok.  I am scared for him,Non-reappraisal
A08218322NEN84JFHLRO8,2,I feel sad and afraid for this man life. DId he get hit,Non-reappraisal
A094612415T5EHTYKXTQ,10,This makes me want to chug up breakfast.  The dog licking the blood.,Non-reappraisal
A10FNV58WR3D0G,14,His family can rest now that they have sen him,Reappraisal
A10LHWALI4BZPC,4,Poor family and person. He was clearly murdered.,Non-reappraisal
A10NDRBWGT78R2,6,finding a murdered person on the side of the road,Non-reappraisal
A10WZ8GK49KCJ1,15,Very sick looking at this. Horrible image to see,Non-reappraisal
A11244HS4DZOVL,17,I think this is a bad image. They need to get him help. Maybe it was an accident.,Reappraisal
A1143GKN5T807X,16,Did he spill his red koolaid when he fell?,Reappraisal
A1154EZYFNAZUS,8,Something violent has happened here. There is a lot of blood.,Non-reappraisal
A117NCPBK9USJL,5,Even the dog looks upset. I wonder if those people are his family. T,Reappraisal
A08218322NEN84JFHLRO8,13,sadness they look homeless or funny being bad,Non-reappraisal
A094612415T5EHTYKXTQ,2,Children are always the suffers of war.,Non-reappraisal
A10FNV58WR3D0G,2,This could be from working to earn money.,Reappraisal
A10G8U9316K46H,1,this looks pretty painful and the baby looks sad,Non-reappraisal
A10LHWALI4BZPC,8,"Is this war, or were they trespassing in a mine?",Reappraisal
A10NDRBWGT78R2,2,bad kids in the neighborhood. Need a bath maybe neglected,Non-reappraisal
A10WZ8GK49KCJ1,11,I feel sad knowing these kids are going through a tough time,Non-reappraisal
A11244HS4DZOVL,1,I think this children will have a hard life but it can get,Reappraisal
A1143GKN5T807X,17,That was a cool scene from that movie.,Reappraisal
A1154EZYFNAZUS,18,They look sad and dirty.,Non-reappraisal
A08218322NEN84JFHLRO8,9,san and afraid for the lives of the people who were in this car,Non-reappraisal
A094612415T5EHTYKXTQ,12,"If we work as a team, we can clean this up in no time.",Reappraisal
A10FNV58WR3D0G,18,Maybe the passenger(s) survived.,Reappraisal
A10NDRBWGT78R2,13,"horrible, car accidents kill. drunk driver. maybe drugs involve",Non-reappraisal
A10WZ8GK49KCJ1,3,I feel sad knowing that people would be killed or injured,Non-reappraisal
A11244HS4DZOVL,8,"Good thing rescue workers are there and their is no body, hopefully everyone turned out okay.",Reappraisal
A1143GKN5T807X,2,It looks as if everyone got out ok.  I do not see any injured people.,Reappraisal
A1154EZYFNAZUS,2,Horrific a terrible car accident!,Non-reappraisal
A117NCPBK9USJL,20,how I feel after Daddy and Amy get paid for not participating. Gruesome wreck.,Non-reappraisal
A118KQORTQPWYY,13,This gives me the chills.  Looks fatal and no chance of survival.,Non-reappraisal
A08218322NEN84JFHLRO8,16,fear and sadness for the lives of these people in,Non-reappraisal
A094612415T5EHTYKXTQ,3,American heroes.  They risk their lives eve,Reappraisal
A10FNV58WR3D0G,15,"The woman has been saved from sure death, this is a happy",Reappraisal
A10LHWALI4BZPC,5,"She looks dead, they weren't able to save her in time.",Non-reappraisal
A10NDRBWGT78R2,9,firefighters face alot of stress saving people hero,Reappraisal
A10WZ8GK49KCJ1,7,This is very upsetting to see. I feel terrible seeing this,Non-reappraisal
A11244HS4DZOVL,4,"Maybe this is a training exercise and it isn't real, but it does look bad.",Reappraisal
A1143GKN5T807X,10,Firefighters are heroes.  They inspire me.,Reappraisal
A1154EZYFNAZUS,9,She looks injured. A fire is happening. THIS C,Non-reappraisal
A117NCPBK9USJL,15,"I really don't know what to say, I hope they saved her. She looks already dead.",Non-reappraisal
