sub_id,trial,txt,img
A1143GKN5T807X,4,Wow what a cool image.  Fire-retardant clothes are amazing.,12
A1143GKN5T807X,5,This man is screaming at his favorite concert.,3
A1143GKN5T807X,6,"If you this looks bad, you see the other guy.",11
A1143GKN5T807X,7,taking a nap is always a fun time.,2
A1143GKN5T807X,8,This Halloween costume is interesting.  Are they,6
A1143GKN5T807X,9,Is this special effects for a movie?  That takes real talent.,13
A1143GKN5T807X,10,Firefighters are heroes.  They inspire me.,20
A1143GKN5T807X,11,Looks like she has cream on her eyes to make them better.,4
A1143GKN5T807X,12,Hopefully this child is receiving the best treatment ever.,7
A1143GKN5T807X,13,Thank God they all got out.,14
A1143GKN5T807X,14,A new life is amazing.  This precious baby is a gift.,1
A1143GKN5T807X,15,Sucks to fall down the stairs when you've been drinking.,5
A1143GKN5T807X,16,Did he spill his red koolaid when he fell?,17
A1143GKN5T807X,17,That was a cool scene from that movie.,18
A1143GKN5T807X,18,Stick'em up!,9
A1143GKN5T807X,19,Crap!  I can't believe the ketchup bottle exploded like that.,8
A1143GKN5T807X,20,I loved this scene from my favorite movie.,15
A1154EZYFNAZUS,1,A tragedy occurred here. People a,14
A1154EZYFNAZUS,2,Horrific a terrible car accident!,19
A1154EZYFNAZUS,3,"Sad, she looks like she has been violently assaulted.",6
A1154EZYFNAZUS,4,It looks like he is trying to kidnap her.,10
A1154EZYFNAZUS,5,It looks like a severe infection of the eyes.,4
A1154EZYFNAZUS,6,"A stunt, maybe, but that is pretty extreme.",12
A1154EZYFNAZUS,7,They are cleaning up hazardous waste. Look at the suits. Can't be good.,15
A1154EZYFNAZUS,8,Something violent has happened here. There is a lot of blood.,17
A1154EZYFNAZUS,9,She looks injured. A fire is happening. THIS C,20
A1154EZYFNAZUS,10,She is beat up. Maybe an accident.,5
A1154EZYFNAZUS,11,He appears to be doing drugs. He is smacked out. Sad.,2
A1154EZYFNAZUS,12,They are burying a body in a shallow grave.,16
A1154EZYFNAZUS,13,This baby is premature. A miracle.,1
A1154EZYFNAZUS,14,"A boxing match, but this guy is getting hurt.",11
A1154EZYFNAZUS,15,Looks like he intends violence. But it could be the cover of a movie.,9
A1154EZYFNAZUS,16,That looks painful! And he looks like he is crying.,13
A1154EZYFNAZUS,17,This baby has been injured and they are trying to dress the wound.,7
A1154EZYFNAZUS,18,They look sad and dirty.,18
A1154EZYFNAZUS,19,He looks like he is tripping out. Maybe a little scared.,3
A1154EZYFNAZUS,20,He looks horrified and injured. Something bad likely happened.,8
A117NCPBK9USJL,1,"He looks trapped and afraid, almost as if on fire.",3
A117NCPBK9USJL,2,"Burning a man alive, unmarked grave, very sad.",16
A117NCPBK9USJL,3,bruhhhhh i'm lit. wheres my car,2
A117NCPBK9USJL,4,i over cooked the turkey again :(,5
A117NCPBK9USJL,5,Even the dog looks upset. I wonder if those people are his family. T,17
A117NCPBK9USJL,6,Born into a dark world. Take me back. I want to go back. AHHHHHHHH,1
A117NCPBK9USJL,7,hey bro you stepped in some dog p,15
A117NCPBK9USJL,8,holy crap what happened to her?,6
A117NCPBK9USJL,9,"me irl trying to get through the day. life is pain, but you keep going.",12
A117NCPBK9USJL,10,No means no dude! She's not interested! I'd punch him.,10
A117NCPBK9USJL,11,"man this hurts, I hate seeing kids in bad situations",18
A117NCPBK9USJL,12,"very scary, i don't like planes. where's dude's shirt?",14
A117NCPBK9USJL,13,"Poor child, I really hope he makes it in life. Very sad. IDK what happened.",7
A117NCPBK9USJL,14,You won't do it. You don't have it in you. Look at your eyes little boy.,9
A117NCPBK9USJL,15,"I really don't know what to say, I hope they saved her. She looks already dead.",20
A117NCPBK9USJL,16,Chernobyls effects are still being felt on this day.,4
A117NCPBK9USJL,17,You're really stupid. Why do that to yourself?,13
A117NCPBK9USJL,18,"assassination attempt, didn't work. now he's mad and coming after his assailant.",8
A117NCPBK9USJL,19,"THAT WAS A REAL SLOBBER KNOCKER, J R! Ouch. 2 participants checked out",11
A117NCPBK9USJL,20,how I feel after Daddy and Amy get paid for not participating. Gruesome wreck.,19
A118KQORTQPWYY,1,"Oh, the baby looks like he is struggling!",1
A118KQORTQPWYY,2,These boys look like they are in trouble and have been playing hard.,18
A118KQORTQPWYY,3,"This is disastrous.  Those brave workers are incredible, b",15
A118KQORTQPWYY,4,"I am fearful for these people, they look in trouble",14
A118KQORTQPWYY,5,"This lady looks in pain, I feel for her and can imagine the fear she feels",6
A118KQORTQPWYY,6,"This man looks dead or severly hurt, I am nervosu for his fate",17
A118KQORTQPWYY,7,He looks like he took a serious blow.  I fear for his safety.,11
A118KQORTQPWYY,8,I hope this man is ok.  I am scared for him,16
A118KQORTQPWYY,9,I am nervous for this lady and hope she will end up ok,20
A118KQORTQPWYY,10,"Yuck!  I hope this person is not in pain, I can feel there sadness in thei",4
A118KQORTQPWYY,11,I am scared.  This man looks serious and evil.,9
A118KQORTQPWYY,12,I am hopeful this man can get help since he is alert,8
A118KQORTQPWYY,13,This gives me the chills.  Looks fatal and no chance of survival.,19
A118KQORTQPWYY,14,"She looks ver hurt, I feel her pain and hopeful",5
A118KQORTQPWYY,15,Ouch!  This child is not deserving of this.  My,7
A118KQORTQPWYY,16,OMG!  i physically hurt for this man,13
A118KQORTQPWYY,17,"not sure what to think or feel, kind of looks excited",3
A118KQORTQPWYY,18,i feel lonely for this man and wish he had some friends to help.,2
A118KQORTQPWYY,19,i am reaaly scared for this lady.  she looks in a lot,10
A118KQORTQPWYY,20,Ohhhhh no!  Yhis looks painful I am feeling anxious,12
A11FHRIUGW7NFB,1,I am shocked at how much blood he is losing and fearful of what happened,8
A11FHRIUGW7NFB,2,He is panicking and I am afraid for him,3
A11FHRIUGW7NFB,3,He looks in distress and I want to provide aide for him or any assistance,2
A11FHRIUGW7NFB,4,This guy is upset and he looks uncomfortable and wanting a change,13
A11FHRIUGW7NFB,5,She is being restrained and I want to scream for help,10
A11FHRIUGW7NFB,6,He is boxing and receiving a very violent blow not healthy,11
A11FHRIUGW7NFB,7,I am upset because there are way too many road fatalities in this country,19
A11FHRIUGW7NFB,8,I feel awful for these children and want to rescue them,18
A11FHRIUGW7NFB,9,This person is suffering and she does not deserve it!,6
A11FHRIUGW7NFB,10,She/he is in emotional pain and I want to cry,5
A11FHRIUGW7NFB,11,This person could be in cardiac arrest and might not live,20
A11FHRIUGW7NFB,12,These people are lucky to be alive but traumatized,14
A11FHRIUGW7NFB,13,This person is deceased and I am shocked at how the others are just standing there,17
A11FHRIUGW7NFB,14,This person will definitely die and I wonder if it was done on purpose,12
A11FHRIUGW7NFB,15,This baby is a fighter and I am happy the baby is breathing well,1
A11FHRIUGW7NFB,16,This elderly person is emotional and my gut reaction at this point is this is taking too long,4
A11FHRIUGW7NFB,17,This child is lucky to be alert and I hope the child is moved to a safe place,7
A11FHRIUGW7NFB,18,These people are working. Nothing wrong with that. And you guys have plenty of good data and need to,15
A11FHRIUGW7NFB,19,Burying a body. Sad. Be more respectful of our time!!!,16
A11FHRIUGW7NFB,20,Might shoot. Oh well. I am lacking empathy now.,9
A11FXG88VL23K5,1,I feel bad that these kids have to endure wa,18
A11FXG88VL23K5,2,This guy has to be suicidal,12
A11FXG88VL23K5,3,This guy looks scared I feel bad he must be trapped,3
A11FXG88VL23K5,4,This poor man was attached & out for revenge,8
A11FXG88VL23K5,5,Working hard getting rid of a dangerous fire stay safe,15
A11FXG88VL23K5,6,Rescue after a plane crash hope all survived and are safe,14
A11FXG88VL23K5,7,Very bad boxing match hope this guy is ok,11
A11FXG88VL23K5,8,This is very sad seeing a battered woman,5
A11FXG88VL23K5,9,O my this is brutal and everyone is just standing there,17
A11FXG88VL23K5,10,This guy has some kind of illness very sad to live like this,4
A11FXG88VL23K5,11,This is so sad seeing this young lady beaten,6
A11FXG88VL23K5,12,Sad seeing a newborn cry li,1
A11FXG88VL23K5,13,Couldn’t afford a coffin? Terrible,16
A11FXG88VL23K5,14,Afraid this person didn’t survive,19
A11FXG88VL23K5,15,This guy is trying to kidnap her & she fighting back,10
A11FXG88VL23K5,16,This just looks like a pic of a man pointing a gun,9
A11FXG88VL23K5,17,This poor kid got hurt probably another war zone,7
A11FXG88VL23K5,18,I don’t know if this is a stunt or not but weird and makes no sense,13
A11FXG88VL23K5,19,Drug addiction is very sad,2
A11FXG88VL23K5,20,Heroes rescuing a woman is great,20
A11H31X2XJH13N,1,I am concerned for this individual. I fear they may be unwell.,2
A11H31X2XJH13N,2,I am concerned this person has a bad infection. It makes me feel ill.,4
A11H31X2XJH13N,3,I fear this person is being abused by someone. This makes me think of victims.,5
A11H31X2XJH13N,4,I am scared looking at this image. I don't like seeing a gun pointed at me.,9
A11H31X2XJH13N,5,Seeing the blood makes me concerned. I hope this person is okay.,11
A11H31X2XJH13N,6,Gross! I wonder how this person got their lip to do that.,13
A11H31X2XJH13N,7,It looks like this person is being kidnapped. I fear for their life. I hope they can get away.,10
A11H31X2XJH13N,8,It looks like this person was killed. I am very angry as I look at this.,17
A11H31X2XJH13N,9,This baby is so small. I hope it grows up big and strong.,1
A11H31X2XJH13N,10,It looks like this child was badly injured. I am upset at the person who hurt them.,7
A11H31X2XJH13N,11,It looks like the plane crashed. I hope everyone survived.,14
A11H31X2XJH13N,12,I fear this person was abused. It makes me worry that it will happen again.,6
A11H31X2XJH13N,13,These firefighters are saving that person's life. I worry it may already be too late.,20
A11H31X2XJH13N,14,It looks like this person was in a fight. I hope they he didn't get hurt too bad.,8
A11H31X2XJH13N,15,It looks like this man is hiding a body. I hope they get caught.,16
A11H31X2XJH13N,16,This children look poor and dirty. They need food and a bath.,18
A11H31X2XJH13N,17,This looks very dangerous. The people also make it look haunting.,15
A11H31X2XJH13N,18,This person looks trapped by some kind of wall. I wonder what is happening to them.,3
A11H31X2XJH13N,19,This makes me feel scared. I fear the person will burn to death.,12
A11H31X2XJH13N,20,This car crash looks fatal. It makes me sad for the people involved and their families.,19
A11ILN5YSUDVG8,1,I am in awe of the joy of new life.  Seeing this che,1
A11ILN5YSUDVG8,2,I feel pain and hurt for the person with a drug addiction.  I feel compansion and want to hl,2
A11ILN5YSUDVG8,3,"I feel this person is letting it all out and is feeling better now, sometime have to scream.",3
A11ILN5YSUDVG8,4,"This man is sad and his eyes hurt, it makes me sad for him.  He is troubled for some reaso",4
A11ILN5YSUDVG8,5,Women has black eyes and I feel she was abused.  that makes me feel sad for her and I want to help see t,5
A11ILN5YSUDVG8,6,This person appears been attacked.  I feel sad and scared for her and want to help,6
A11ILN5YSUDVG8,7,"I fell anger, outrage and extreme sadness for this hurt child.  It hu",7
A11ILN5YSUDVG8,8,"This makes me sad, angry and fearful.  What happened to his person, wondering.",8
A11ILN5YSUDVG8,9,This is frightening and scarey and oh so very sad.  I kid with a gun and pointed at t,9
A11ILN5YSUDVG8,10,This is distrubing and scarey and someone needs to step in the help.  Alarmed,10
A11ILN5YSUDVG8,11,"OUch, feels painful and oh so sad that someone does this for a living, boxing is harm",11
A11ILN5YSUDVG8,12,"This is scarey, and looks painful but might be a stunt.  I am afraid for the",12
A11ILN5YSUDVG8,13,Looks painful and like a tribal ritual or maybe a punishme,13
A11ILN5YSUDVG8,14,"Shock and horror and fearful of those that might not made out alive.  Sad, sc",14
A11ILN5YSUDVG8,15,"Scared, concerned, fearful.  What are they doing, must be dangerous!  S",15
A11ILN5YSUDVG8,16,Very sad and frightening about what happened and that had to be buried in this way,16
A11ILN5YSUDVG8,17,"Very distrubing and sad to see someone killed and dead in a street, upset!",17
A11ILN5YSUDVG8,18,I feel sad and hurt for these children who obviously have a har,18
A11ILN5YSUDVG8,19,Crashes scare me and make me very sad and upset.  Feel so sorry for the people here,19
A11ILN5YSUDVG8,20,"This is frightening and makes me upset and scared, Hope the lady is alright",20
A11JZFATJVBFN0,1,The accident is tge,19
A11JZFATJVBFN0,2,The face is blood spreading.,11
A11JZFATJVBFN0,3,The road fully blood in dog eat.,17
A11JZFATJVBFN0,4,The baby fresh in mother stomach. Cry in,1
A11JZFATJVBFN0,5,The man is cycle driving in fires.,12
A11M4E3N6Q8918,1,Family is everything,18
A11M4E3N6Q8918,2,Stay in the fight never,11
A11M4E3N6Q8918,3,Yell for help fight for you r life,10
A11M4E3N6Q8918,4,You deserve love,5
A11M4E3N6Q8918,5,They pain of this phone call will be hurtful,19
A11M4E3N6Q8918,6,Brave and selfless sacrifice,20
A11M4E3N6Q8918,7,Praise god a narrow escape,14
A11M4E3N6Q8918,8,Healing hands are there you are not alone,7
A11M4E3N6Q8918,9,Reach out someone cares,2
A11M4E3N6Q8918,10,We have the power of change it's never too late,6
A11M4E3N6Q8918,11,Live is precious,3
A11M4E3N6Q8918,12,Cleaning up the mess,15
A11M4E3N6Q8918,13,Miracle love,1
A11M4E3N6Q8918,14,God help,8
A11M4E3N6Q8918,15,Someone will get help for the body,17
A11M4E3N6Q8918,16,There is medicine,4
A11M4E3N6Q8918,17,A proper burial,16
A11M4E3N6Q8918,18,Could be worse,13
A11M4E3N6Q8918,19,He does want to hurt,9
A11M4E3N6Q8918,20,This can't be a good thing,12
A11WIX32EZXV2K,1,"I'm sad at this image of a probably dead man, I'm very concerned of the people if the",17
A11WIX32EZXV2K,2,brought into the world with medical condition probably I hope,1
A11WIX32EZXV2K,3,"very horrific, devastating, I'm concerned for the people on the crash,",19
A11WIX32EZXV2K,4,very scary to imagine what these people went through,14
A11WIX32EZXV2K,5,"I can feel the sadness in this person's eyes, makes me want to cry too.",4
A11WIX32EZXV2K,6,"cool image, look like from a movie I previously saw, hope its safe",12
A11WIX32EZXV2K,7,"looks very painful, I wonder what they went through",6
A11WIX32EZXV2K,8,pollution?  those kids need to be in better living conditions,18
A11WIX32EZXV2K,9,"very unsafe, I hope they are alright, looks like an explosion or",15
A11WIX32EZXV2K,10,"omg, I would be traumatized if that happened to me, worst fear",20
A11WIX32EZXV2K,11,"sad death, seems like no one cared for him if he is buried that way",16
A11WIX32EZXV2K,12,"very scary for a woman to experience, I hope she is strong enough to escape the attacker",10
A11WIX32EZXV2K,13,"looks like that would be very painful, probably from boxing, I don't like that sport",11
A11WIX32EZXV2K,14,"torture? I hate everything about this, I hope it is not painful",13
A11WIX32EZXV2K,15,"addiction is always very sad, he needs help immediately",2
A11WIX32EZXV2K,16,"he seems scared, is this from a movie",3
A11WIX32EZXV2K,17,"he got attacked, he needs medical help, so much blood",8
A11WIX32EZXV2K,18,"looks like a movie poster, cool",9
A11WIX32EZXV2K,19,"probably from a movie, though I still feel for the little dude",7
A11WIX32EZXV2K,20,"domestic abuse? I know that has got to hurt, its very swollen , hope",5
A121T4P5NKCHCS,1,Horrific to be in this situation.,12
A121T4P5NKCHCS,2,accidents are bad,17
A121T4P5NKCHCS,3,Man I feel for people addicted,2
A121T4P5NKCHCS,4,Horrible but tribal and normal for him,13
A121T4P5NKCHCS,5,so sad to look at,4
A121T4P5NKCHCS,6,Horrific and disturbing to see,8
A121T4P5NKCHCS,7,I don't feel much on this at all,15
A121T4P5NKCHCS,8,happens too many times and so sad,19
A121T4P5NKCHCS,9,War injury it looks like so sad,7
A121T4P5NKCHCS,10,Happy to see so many without injury here,14
A121T4P5NKCHCS,11,not hard to watch at all,10
A121T4P5NKCHCS,12,"burns and smoke are bad, hard to watch this",20
A121T4P5NKCHCS,13,always hate seeing children in distress,18
A121T4P5NKCHCS,14,domestic abuse is never right so sad to see,5
A121T4P5NKCHCS,15,"he chose to fight, not sad at all",11
A121T4P5NKCHCS,16,looks very painful but he is alive,6
A121T4P5NKCHCS,17,I don't see a problem,3
A121T4P5NKCHCS,18,I would be scared if it was me as the victim,9
A121T4P5NKCHCS,19,sad to see more cartel violence,16
A121T4P5NKCHCS,20,"wow, hurtful to see",1
A121YWZJNUUZRJ,2,sad,16
A121YWZJNUUZRJ,3,an acdent,17
A121YWZJNUUZRJ,4,drag a,18
A121YWZJNUUZRJ,5,crime,1
A121YWZJNUUZRJ,6,faire,19
A121YWZJNUUZRJ,7,new born baby,15
A121YWZJNUUZRJ,8,the man kill,9
A121YWZJNUUZRJ,9,burn,8
A121YWZJNUUZRJ,10,abuse,20
A121YWZJNUUZRJ,11,suffer form,3
A121YWZJNUUZRJ,12,abuse child.,6
A121YWZJNUUZRJ,13,lost her eye by a accident.,4
A121YWZJNUUZRJ,14,it was a cinematic,7
A121YWZJNUUZRJ,15,this guys was hurt by pun,2
A121YWZJNUUZRJ,16,the man was trying to hurt the guy.,10
A121YWZJNUUZRJ,17,it was fake. but it was so much horiable.,5
A121YWZJNUUZRJ,18,fire serveice,14
A121YWZJNUUZRJ,19,plan crush . so many people are suffer,13
A121YWZJNUUZRJ,20,abu,11
A1257JCX36O51I,2,Whatever happened must of hurt. I feel bad for her.,5
A1257JCX36O51I,3,Horrible scene. Someone get those dogs out of there!,17
A1257JCX36O51I,4,Hopefully this man can get some help before its too late.,2
A1257JCX36O51I,5,"Oil spill? Whatever this is, it looks like hell. Hope the pep",15
A1257JCX36O51I,6,Possibly mid trip/phycadellics. Might be fun,3
A1257JCX36O51I,7,Looks like a premature baby. Hopefully the little guy/girl is ok!,1
A1257JCX36O51I,8,Horrible event. Such tragedy,14
A1257JCX36O51I,9,Terrible accident. Hopefully no one died :(,19
A1257JCX36O51I,10,Looks like a kidnapping. Hopefully,10
A1257JCX36O51I,11,Ouch! Hopefully he's ok!,8
A1257JCX36O51I,12,This woman was hurt bad. Hope she enjoys that cig!,6
