sub_id,trial,group_cond,txt,img
A11H31X2XJH13N,19,reappraisal & motivation,This makes me feel scared. I fear the person will burn to death.,12
A11ILN5YSUDVG8,12,control,"This is scarey, and looks painful but might be a stunt.  I am afraid for the",12
A118KQORTQPWYY,16,control,OMG!  i physically hurt for this man,13
A11FHRIUGW7NFB,4,control,This guy is upset and he looks uncomfortable and wanting a change,13
A11FXG88VL23K5,18,reappraisal,I don’t know if this is a stunt or not but weird and makes no sense,13
A11H31X2XJH13N,6,reappraisal & motivation,Gross! I wonder how this person got their lip to do that.,13
A11ILN5YSUDVG8,13,control,Looks painful and like a tribal ritual or maybe a punishme,13
A117NCPBK9USJL,12,reappraisal,"very scary, i don't like planes. where's dude's shirt?",14
A118KQORTQPWYY,4,control,"I am fearful for these people, they look in trouble",14
A11FHRIUGW7NFB,12,control,These people are lucky to be alive but traumatized,14
A11FXG88VL23K5,6,reappraisal,Rescue after a plane crash hope all survived and are safe,14
A11H31X2XJH13N,11,reappraisal & motivation,It looks like the plane crashed. I hope everyone survived.,14
A118KQORTQPWYY,3,control,"This is disastrous.  Those brave workers are incredible, b",15
A11FHRIUGW7NFB,18,control,These people are working. Nothing wrong with that. And you guys have plenty of good data and need to,15
A11FXG88VL23K5,5,reappraisal,Working hard getting rid of a dangerous fire stay safe,15
A11H31X2XJH13N,17,reappraisal & motivation,This looks very dangerous. The people also make it look haunting.,15
A11ILN5YSUDVG8,15,control,"Scared, concerned, fearful.  What are they doing, must be dangerous!  S",15
A11FHRIUGW7NFB,19,control,Burying a body. Sad. Be more respectful of our time!!!,16
A11FXG88VL23K5,13,reappraisal,Couldn’t afford a coffin? Terrible,16
A11H31X2XJH13N,15,reappraisal & motivation,It looks like this man is hiding a body. I hope they get caught.,16
A11ILN5YSUDVG8,16,control,Very sad and frightening about what happened and that had to be buried in this way,16
A11M4E3N6Q8918,17,motivation,A proper burial,16
A118KQORTQPWYY,6,control,"This man looks dead or severly hurt, I am nervosu for his fate",17
A11FHRIUGW7NFB,13,control,This person is deceased and I am shocked at how the others are just standing there,17
A11FXG88VL23K5,9,reappraisal,O my this is brutal and everyone is just standing there,17
A11H31X2XJH13N,8,reappraisal & motivation,It looks like this person was killed. I am very angry as I look at this.,17
A11ILN5YSUDVG8,17,control,"Very distrubing and sad to see someone killed and dead in a street, upset!",17
A117NCPBK9USJL,11,reappraisal,"man this hurts, I hate seeing kids in bad situations",18
A118KQORTQPWYY,2,control,These boys look like they are in trouble and have been playing hard.,18
A11FHRIUGW7NFB,8,control,I feel awful for these children and want to rescue them,18
A11FXG88VL23K5,1,reappraisal,I feel bad that these kids have to endure wa,18
A11H31X2XJH13N,16,reappraisal & motivation,This children look poor and dirty. They need food and a bath.,18
A11FHRIUGW7NFB,7,control,I am upset because there are way too many road fatalities in this country,19
A11FXG88VL23K5,14,reappraisal,Afraid this person didn’t survive,19
A11H31X2XJH13N,20,reappraisal & motivation,This car crash looks fatal. It makes me sad for the people involved and their families.,19
A11ILN5YSUDVG8,19,control,Crashes scare me and make me very sad and upset.  Feel so sorry for the people here,19
A11JZFATJVBFN0,1,reappraisal & motivation,The accident is tge,19
A118KQORTQPWYY,9,control,I am nervous for this lady and hope she will end up ok,20
A11FHRIUGW7NFB,11,control,This person could be in cardiac arrest and might not live,20
A11FXG88VL23K5,20,reappraisal,Heroes rescuing a woman is great,20
A11H31X2XJH13N,13,reappraisal & motivation,These firefighters are saving that person's life. I worry it may already be too late.,20
A11ILN5YSUDVG8,20,control,"This is frightening and makes me upset and scared, Hope the lady is alright",20
