sub_id,trial,text,gpt_label
A10WZ8GK49KCJ1,10,I don't feel much of anything. Hard to see what's going on,Non-reappraisal
A10WZ8GK49KCJ1,11,I feel sad knowing these kids are going through a tough time,Non-reappraisal
A10WZ8GK49KCJ1,12,I feel sad at knowing this person appears to be upset,Non-reappraisal
A10WZ8GK49KCJ1,13,Upsetting to see and painful to look at,Non-reappraisal
A10WZ8GK49KCJ1,14,Don't really feel anything looking at this,Non-reappraisal
A10WZ8GK49KCJ1,15,Very sick looking at this. Horrible image to see,Non-reappraisal
A10WZ8GK49KCJ1,16,"I feel bad, someone had clearly died and being burried",Non-reappraisal
A10WZ8GK49KCJ1,17,This looks more like art so I don't have any negative feelings,Reappraisal
A10WZ8GK49KCJ1,18,I feel terrible as this looks like a deadly airplane crash,Non-reappraisal
A10WZ8GK49KCJ1,19,This makes me feel sad and sorry for this person on drugs,Non-reappraisal
A10WZ8GK49KCJ1,20,"I feel bad for the guy getting hit, but that's boxing",Non-reappraisal
A11244HS4DZOVL,1,I think this children will have a hard life but it can get,Reappraisal
A11244HS4DZOVL,2,I think this man is having a bad day but lucky to be alive.,Reappraisal
A11244HS4DZOVL,3,This looks terrible and painful. I would not want to be this guy. But maybe it is a planned stunt.,Reappraisal
A11244HS4DZOVL,4,"Maybe this is a training exercise and it isn't real, but it does look bad.",Reappraisal
A11244HS4DZOVL,5,That baby is lucky to be alive. It looks bad but it could be worse.,Reappraisal
A11244HS4DZOVL,6,"It looks like a bad hit, but it looks like a planned event so they knew what the risks were for participating.",Reappraisal
A11244HS4DZOVL,7,"Hopefully he is getting the medical attention that is needed, but it looks like he can still see.",Reappraisal
A11244HS4DZOVL,8,"Good thing rescue workers are there and their is no body, hopefully everyone turned out okay.",Reappraisal
A11244HS4DZOVL,9,This is a cool image actually. Nobody is hurt or injured.,Reappraisal
A11244HS4DZOVL,10,It looks like they could be playing or fake wrestling. Maybe its not what it appears to be.,Reappraisal
A11244HS4DZOVL,11,"I think that this could be a set and not real, but if it is I feel sad for this man. At least he can be burried.",Reappraisal
A11244HS4DZOVL,12,I think this is artistic. It makes me think that this person is having a party. I think it looks cool,Reappraisal
A11244HS4DZOVL,13,"That kid looks hurt, but i'm glad to see someone is there to take care of him.",Reappraisal
A11244HS4DZOVL,14,This looks like a movie set. At least people have protective gear and seem to be doing okay.,Reappraisal
A11244HS4DZOVL,15,"This person looks like the victim or abuse, but they seem to be getting some kind of help wich is good",Reappraisal
A11244HS4DZOVL,16,I think maybe this person had a trip and fall and hit her face. It does not look too bad overall.,Reappraisal
A11244HS4DZOVL,17,I think this is a bad image. They need to get him help. Maybe it was an accident.,Reappraisal
A11244HS4DZOVL,18,"This could be worse, he could be overdosed and dead. Maybe he needs to make better life choices.",Reappraisal
A11244HS4DZOVL,19,It looks like people were able to escape from this plane. Hopefully nobody died.,Reappraisal
A11244HS4DZOVL,20,"This is disgusting. A terrible punishment, but he seems okay for the most part.",Non-reappraisal
A1143GKN5T807X,1,This man is saving his family the expense of a funeral.,Reappraisal
A1143GKN5T807X,2,It looks as if everyone got out ok.  I do not see any injured people.,Reappraisal
A1143GKN5T807X,3,They are playfully wrestling...big brothers are so fun.,Reappraisal
A1143GKN5T807X,4,Wow what a cool image.  Fire-retardant clothes are amazing.,Reappraisal
A1143GKN5T807X,5,This man is screaming at his favorite concert.,Reappraisal
A1143GKN5T807X,6,"If you this looks bad, you see the other guy.",Non-reappraisal
A1143GKN5T807X,7,taking a nap is always a fun time.,Reappraisal
A1143GKN5T807X,8,This Halloween costume is interesting.  Are they,Reappraisal
A1143GKN5T807X,9,Is this special effects for a movie?  That takes real talent.,Reappraisal
A1143GKN5T807X,10,Firefighters are heroes.  They inspire me.,Reappraisal
A1143GKN5T807X,11,Looks like she has cream on her eyes to make them better.,Reappraisal
A1143GKN5T807X,12,Hopefully this child is receiving the best treatment ever.,Reappraisal
A1143GKN5T807X,13,Thank God they all got out.,Reappraisal
A1143GKN5T807X,14,A new life is amazing.  This precious baby is a gift.,Reappraisal
A1143GKN5T807X,15,Sucks to fall down the stairs when you've been drinking.,Reappraisal
A1143GKN5T807X,16,Did he spill his red koolaid when he fell?,Reappraisal
A1143GKN5T807X,17,That was a cool scene from that movie.,Reappraisal
A1143GKN5T807X,18,Stick'em up!,Non-reappraisal
A1143GKN5T807X,19,Crap!  I can't believe the ketchup bottle exploded like that.,Reappraisal
A1143GKN5T807X,20,I loved this scene from my favorite movie.,Reappraisal
A1154EZYFNAZUS,1,A tragedy occurred here. People a,Non-reappraisal
A1154EZYFNAZUS,2,Horrific a terrible car accident!,Non-reappraisal
A1154EZYFNAZUS,3,"Sad, she looks like she has been violently assaulted.",Non-reappraisal
A1154EZYFNAZUS,4,It looks like he is trying to kidnap her.,Non-reappraisal
A1154EZYFNAZUS,5,It looks like a severe infection of the eyes.,Non-reappraisal
A1154EZYFNAZUS,6,"A stunt, maybe, but that is pretty extreme.",Reappraisal
A1154EZYFNAZUS,7,They are cleaning up hazardous waste. Look at the suits. Can't be good.,Non-reappraisal
A1154EZYFNAZUS,8,Something violent has happened here. There is a lot of blood.,Non-reappraisal
A1154EZYFNAZUS,9,She looks injured. A fire is happening. THIS C,Non-reappraisal
A1154EZYFNAZUS,10,She is beat up. Maybe an accident.,Non-reappraisal
A1154EZYFNAZUS,11,He appears to be doing drugs. He is smacked out. Sad.,Non-reappraisal
A1154EZYFNAZUS,12,They are burying a body in a shallow grave.,Non-reappraisal
A1154EZYFNAZUS,13,This baby is premature. A miracle.,Reappraisal
A1154EZYFNAZUS,14,"A boxing match, but this guy is getting hurt.",Non-reappraisal
A1154EZYFNAZUS,15,Looks like he intends violence. But it could be the cover of a movie.,Reappraisal
A1154EZYFNAZUS,16,That looks painful! And he looks like he is crying.,Non-reappraisal
A1154EZYFNAZUS,17,This baby has been injured and they are trying to dress the wound.,Reappraisal
A1154EZYFNAZUS,18,They look sad and dirty.,Non-reappraisal
A1154EZYFNAZUS,19,He looks like he is tripping out. Maybe a little scared.,Non-reappraisal
A1154EZYFNAZUS,20,He looks horrified and injured. Something bad likely happened.,Non-reappraisal
A117NCPBK9USJL,1,"He looks trapped and afraid, almost as if on fire.",Non-reappraisal
A117NCPBK9USJL,2,"Burning a man alive, unmarked grave, very sad.",Non-reappraisal
A117NCPBK9USJL,3,bruhhhhh i'm lit. wheres my car,Non-reappraisal
A117NCPBK9USJL,4,i over cooked the turkey again :(,Non-reappraisal
A117NCPBK9USJL,5,Even the dog looks upset. I wonder if those people are his family. T,Reappraisal
A117NCPBK9USJL,6,Born into a dark world. Take me back. I want to go back. AHHHHHHHH,Non-reappraisal
A117NCPBK9USJL,7,hey bro you stepped in some dog p,Non-reappraisal
A117NCPBK9USJL,8,holy crap what happened to her?,Non-reappraisal
A117NCPBK9USJL,9,"me irl trying to get through the day. life is pain, but you keep going.",Reappraisal
A117NCPBK9USJL,10,No means no dude! She's not interested! I'd punch him.,Non-reappraisal
A117NCPBK9USJL,11,"man this hurts, I hate seeing kids in bad situations",Non-reappraisal
A117NCPBK9USJL,12,"very scary, i don't like planes. where's dude's shirt?",Non-reappraisal
A117NCPBK9USJL,13,"Poor child, I really hope he makes it in life. Very sad. IDK what happened.",Reappraisal
A117NCPBK9USJL,14,You won't do it. You don't have it in you. Look at your eyes little boy.,Reappraisal
A117NCPBK9USJL,15,"I really don't know what to say, I hope they saved her. She looks already dead.",Non-reappraisal
A117NCPBK9USJL,16,Chernobyls effects are still being felt on this day.,Non-reappraisal
A117NCPBK9USJL,17,You're really stupid. Why do that to yourself?,Non-reappraisal
A117NCPBK9USJL,18,"assassination attempt, didn't work. now he's mad and coming after his assailant.",Reappraisal
A117NCPBK9USJL,19,"THAT WAS A REAL SLOBBER KNOCKER, J R! Ouch. 2 participants checked out",Reappraisal
A117NCPBK9USJL,20,how I feel after Daddy and Amy get paid for not participating. Gruesome wreck.,Non-reappraisal
A118KQORTQPWYY,1,"Oh, the baby looks like he is struggling!",Non-reappraisal
A118KQORTQPWYY,2,These boys look like they are in trouble and have been playing hard.,Non-reappraisal
A118KQORTQPWYY,3,"This is disastrous.  Those brave workers are incredible, b",Reappraisal
A118KQORTQPWYY,4,"I am fearful for these people, they look in trouble",Non-reappraisal
A118KQORTQPWYY,5,"This lady looks in pain, I feel for her and can imagine the fear she feels",Non-reappraisal
A118KQORTQPWYY,6,"This man looks dead or severly hurt, I am nervosu for his fate",Non-reappraisal
A118KQORTQPWYY,7,He looks like he took a serious blow.  I fear for his safety.,Non-reappraisal
A118KQORTQPWYY,8,I hope this man is ok.  I am scared for him,Non-reappraisal
A118KQORTQPWYY,9,I am nervous for this lady and hope she will end up ok,Reappraisal
A118KQORTQPWYY,10,"Yuck!  I hope this person is not in pain, I can feel there sadness in thei",Non-reappraisal
A118KQORTQPWYY,11,I am scared.  This man looks serious and evil.,Non-reappraisal
A118KQORTQPWYY,12,I am hopeful this man can get help since he is alert,Reappraisal
A118KQORTQPWYY,13,This gives me the chills.  Looks fatal and no chance of survival.,Non-reappraisal
A118KQORTQPWYY,14,"She looks ver hurt, I feel her pain and hopeful",Reappraisal
A118KQORTQPWYY,15,Ouch!  This child is not deserving of this.  My,Non-reappraisal
A118KQORTQPWYY,16,OMG!  i physically hurt for this man,Non-reappraisal
A118KQORTQPWYY,17,"not sure what to think or feel, kind of looks excited",Reappraisal
A118KQORTQPWYY,18,i feel lonely for this man and wish he had some friends to help.,Reappraisal
A118KQORTQPWYY,19,i am reaaly scared for this lady.  she looks in a lot,Non-reappraisal
A118KQORTQPWYY,20,Ohhhhh no!  Yhis looks painful I am feeling anxious,Non-reappraisal
A11FHRIUGW7NFB,1,I am shocked at how much blood he is losing and fearful of what happened,Non-reappraisal
A11FHRIUGW7NFB,2,He is panicking and I am afraid for him,Non-reappraisal
A11FHRIUGW7NFB,3,He looks in distress and I want to provide aide for him or any assistance,Reappraisal
A11FHRIUGW7NFB,4,This guy is upset and he looks uncomfortable and wanting a change,Reappraisal
A11FHRIUGW7NFB,5,She is being restrained and I want to scream for help,Non-reappraisal
A11FHRIUGW7NFB,6,He is boxing and receiving a very violent blow not healthy,Non-reappraisal
A11FHRIUGW7NFB,7,I am upset because there are way too many road fatalities in this country,Non-reappraisal
A11FHRIUGW7NFB,8,I feel awful for these children and want to rescue them,Non-reappraisal
A11FHRIUGW7NFB,9,This person is suffering and she does not deserve it!,Non-reappraisal
A11FHRIUGW7NFB,10,She/he is in emotional pain and I want to cry,Non-reappraisal
A11FHRIUGW7NFB,11,This person could be in cardiac arrest and might not live,Non-reappraisal
A11FHRIUGW7NFB,12,These people are lucky to be alive but traumatized,Reappraisal
A11FHRIUGW7NFB,13,This person is deceased and I am shocked at how the others are just standing there,Non-reappraisal
A11FHRIUGW7NFB,14,This person will definitely die and I wonder if it was done on purpose,Non-reappraisal
A11FHRIUGW7NFB,15,This baby is a fighter and I am happy the baby is breathing well,Reappraisal
A11FHRIUGW7NFB,16,This elderly person is emotional and my gut reaction at this point is this is taking too long,Non-reappraisal
A11FHRIUGW7NFB,17,This child is lucky to be alert and I hope the child is moved to a safe place,Reappraisal
A11FHRIUGW7NFB,18,These people are working. Nothing wrong with that. And you guys have plenty of good data and need to,Reappraisal
A11FHRIUGW7NFB,19,Burying a body. Sad. Be more respectful of our time!!!,Non-reappraisal
A11FHRIUGW7NFB,20,Might shoot. Oh well. I am lacking empathy now.,Non-reappraisal
A11FXG88VL23K5,1,I feel bad that these kids have to endure wa,Non-reappraisal
A11FXG88VL23K5,2,This guy has to be suicidal,Non-reappraisal
A11FXG88VL23K5,3,This guy looks scared I feel bad he must be trapped,Non-reappraisal
A11FXG88VL23K5,4,This poor man was attached & out for revenge,Reappraisal
A11FXG88VL23K5,5,Working hard getting rid of a dangerous fire stay safe,Reappraisal
A11FXG88VL23K5,6,Rescue after a plane crash hope all survived and are safe,Reappraisal
A11FXG88VL23K5,7,Very bad boxing match hope this guy is ok,Non-reappraisal
A11FXG88VL23K5,8,This is very sad seeing a battered woman,Non-reappraisal
A11FXG88VL23K5,9,O my this is brutal and everyone is just standing there,Non-reappraisal
A11FXG88VL23K5,10,This guy has some kind of illness very sad to live like this,Non-reappraisal
A11FXG88VL23K5,11,This is so sad seeing this young lady beaten,Non-reappraisal
A11FXG88VL23K5,12,Sad seeing a newborn cry li,Non-reappraisal
A11FXG88VL23K5,13,Couldn’t afford a coffin? Terrible,Non-reappraisal
A11FXG88VL23K5,14,Afraid this person didn’t survive,Non-reappraisal
A11FXG88VL23K5,15,This guy is trying to kidnap her & she fighting back,Non-reappraisal
A11FXG88VL23K5,16,This just looks like a pic of a man pointing a gun,Non-reappraisal
A11FXG88VL23K5,17,This poor kid got hurt probably another war zone,Non-reappraisal
A11FXG88VL23K5,18,I don’t know if this is a stunt or not but weird and makes no sense,Non-reappraisal
A11FXG88VL23K5,19,Drug addiction is very sad,Non-reappraisal
A11FXG88VL23K5,20,Heroes rescuing a woman is great,Reappraisal
A11H31X2XJH13N,1,I am concerned for this individual. I fear they may be unwell.,Non-reappraisal
A11H31X2XJH13N,2,I am concerned this person has a bad infection. It makes me feel ill.,Non-reappraisal
A11H31X2XJH13N,3,I fear this person is being abused by someone. This makes me think of victims.,Non-reappraisal
A11H31X2XJH13N,4,I am scared looking at this image. I don't like seeing a gun pointed at me.,Non-reappraisal
A11H31X2XJH13N,5,Seeing the blood makes me concerned. I hope this person is okay.,Non-reappraisal
A11H31X2XJH13N,6,Gross! I wonder how this person got their lip to do that.,Non-reappraisal
A11H31X2XJH13N,7,It looks like this person is being kidnapped. I fear for their life. I hope they can get away.,Non-reappraisal
A11H31X2XJH13N,8,It looks like this person was killed. I am very angry as I look at this.,Non-reappraisal
A11H31X2XJH13N,9,This baby is so small. I hope it grows up big and strong.,Reappraisal
A11H31X2XJH13N,10,It looks like this child was badly injured. I am upset at the person who hurt them.,Non-reappraisal
A11H31X2XJH13N,11,It looks like the plane crashed. I hope everyone survived.,Reappraisal
A11H31X2XJH13N,12,I fear this person was abused. It makes me worry that it will happen again.,Non-reappraisal
A11H31X2XJH13N,13,These firefighters are saving that person's life. I worry it may already be too late.,Non-reappraisal
A11H31X2XJH13N,14,It looks like this person was in a fight. I hope they he didn't get hurt too bad.,Reappraisal
A11H31X2XJH13N,15,It looks like this man is hiding a body. I hope they get caught.,Non-reappraisal
A11H31X2XJH13N,16,This children look poor and dirty. They need food and a bath.,Non-reappraisal
A11H31X2XJH13N,17,This looks very dangerous. The people also make it look haunting.,Non-reappraisal
A11H31X2XJH13N,18,This person looks trapped by some kind of wall. I wonder what is happening to them.,Non-reappraisal
A11H31X2XJH13N,19,This makes me feel scared. I fear the person will burn to death.,Non-reappraisal
A11H31X2XJH13N,20,This car crash looks fatal. It makes me sad for the people involved and their families.,Non-reappraisal
A11ILN5YSUDVG8,1,I am in awe of the joy of new life.  Seeing this che,Reappraisal
A11ILN5YSUDVG8,2,I feel pain and hurt for the person with a drug addiction.  I feel compansion and want to hl,Non-reappraisal
A11ILN5YSUDVG8,3,"I feel this person is letting it all out and is feeling better now, sometime have to scream.",Reappraisal
A11ILN5YSUDVG8,4,"This man is sad and his eyes hurt, it makes me sad for him.  He is troubled for some reaso",Non-reappraisal
A11ILN5YSUDVG8,5,Women has black eyes and I feel she was abused.  that makes me feel sad for her and I want to help see t,Non-reappraisal
A11ILN5YSUDVG8,6,This person appears been attacked.  I feel sad and scared for her and want to help,Non-reappraisal
A11ILN5YSUDVG8,7,"I fell anger, outrage and extreme sadness for this hurt child.  It hu",Non-reappraisal
A11ILN5YSUDVG8,8,"This makes me sad, angry and fearful.  What happened to his person, wondering.",Non-reappraisal
A11ILN5YSUDVG8,9,This is frightening and scarey and oh so very sad.  I kid with a gun and pointed at t,Non-reappraisal
A11ILN5YSUDVG8,10,This is distrubing and scarey and someone needs to step in the help.  Alarmed,Non-reappraisal
A11ILN5YSUDVG8,11,"OUch, feels painful and oh so sad that someone does this for a living, boxing is harm",Non-reappraisal
A11ILN5YSUDVG8,12,"This is scarey, and looks painful but might be a stunt.  I am afraid for the",Reappraisal
A11ILN5YSUDVG8,13,Looks painful and like a tribal ritual or maybe a punishme,Non-reappraisal
A11ILN5YSUDVG8,14,"Shock and horror and fearful of those that might not made out alive.  Sad, sc",Non-reappraisal
A11ILN5YSUDVG8,15,"Scared, concerned, fearful.  What are they doing, must be dangerous!  S",Non-reappraisal
A11ILN5YSUDVG8,16,Very sad and frightening about what happened and that had to be buried in this way,Non-reappraisal
A11ILN5YSUDVG8,17,"Very distrubing and sad to see someone killed and dead in a street, upset!",Non-reappraisal
A11ILN5YSUDVG8,18,I feel sad and hurt for these children who obviously have a har,Non-reappraisal
A11ILN5YSUDVG8,19,Crashes scare me and make me very sad and upset.  Feel so sorry for the people here,Non-reappraisal
A11ILN5YSUDVG8,20,"This is frightening and makes me upset and scared, Hope the lady is alright",Reappraisal
A11JZFATJVBFN0,1,The accident is tge,Non-reappraisal
A11JZFATJVBFN0,2,The face is blood spreading.,Non-reappraisal
A11JZFATJVBFN0,3,The road fully blood in dog eat.,Non-reappraisal
A11JZFATJVBFN0,4,The baby fresh in mother stomach. Cry in,Non-reappraisal
A11JZFATJVBFN0,5,The man is cycle driving in fires.,Non-reappraisal
A11M4E3N6Q8918,1,Family is everything,Non-reappraisal
A11M4E3N6Q8918,2,Stay in the fight never,Non-reappraisal
A11M4E3N6Q8918,3,Yell for help fight for you r life,Non-reappraisal
A11M4E3N6Q8918,4,You deserve love,Reappraisal
A11M4E3N6Q8918,5,They pain of this phone call will be hurtful,Non-reappraisal
A11M4E3N6Q8918,6,Brave and selfless sacrifice,Reappraisal
A11M4E3N6Q8918,7,Praise god a narrow escape,Reappraisal
A11M4E3N6Q8918,8,Healing hands are there you are not alone,Reappraisal
A11M4E3N6Q8918,9,Reach out someone cares,Reappraisal
A11M4E3N6Q8918,10,We have the power of change it's never too late,Reappraisal
A11M4E3N6Q8918,11,Live is precious,Reappraisal
A11M4E3N6Q8918,12,Cleaning up the mess,Reappraisal
A11M4E3N6Q8918,13,Miracle love,Reappraisal
A11M4E3N6Q8918,14,God help,Non-reappraisal
A11M4E3N6Q8918,15,Someone will get help for the body,Reappraisal
A11M4E3N6Q8918,16,There is medicine,Reappraisal
A11M4E3N6Q8918,17,A proper burial,Reappraisal
A11M4E3N6Q8918,18,Could be worse,Reappraisal
A11M4E3N6Q8918,19,He does want to hurt,Non-reappraisal
A11M4E3N6Q8918,20,This can't be a good thing,Non-reappraisal
A11WIX32EZXV2K,1,"I'm sad at this image of a probably dead man, I'm very concerned of the people if the",Non-reappraisal
A11WIX32EZXV2K,2,brought into the world with medical condition probably I hope,Reappraisal
A11WIX32EZXV2K,3,"very horrific, devastating, I'm concerned for the people on the crash,",Non-reappraisal
A11WIX32EZXV2K,4,very scary to imagine what these people went through,Non-reappraisal
