sub_id,trial,group_cond,txt,img
A10WZ8GK49KCJ1,9,control,I feel bad. Looks like this person was abused,6
A11244HS4DZOVL,15,motivation,"This person looks like the victim or abuse, but they seem to be getting some kind of help wich is good",6
A1143GKN5T807X,8,reappraisal & motivation,This Halloween costume is interesting.  Are they,6
A1154EZYFNAZUS,3,reappraisal,"Sad, she looks like she has been violently assaulted.",6
A117NCPBK9USJL,8,reappraisal,holy crap what happened to her?,6
A08218322NEN84JFHLRO8,10,reappraisal,sadness for this child did a adult beat on them,7
A094612415T5EHTYKXTQ,19,reappraisal,Scared but alive.,7
A10FNV58WR3D0G,20,reappraisal & motivation,"This child has finally received help for their condition, bravo!",7
A10LHWALI4BZPC,7,reappraisal,The kid looks in pain and sad.,7
A10NDRBWGT78R2,15,control,"poor baby, what happened? car accident hopefully not neglect",7
A10WZ8GK49KCJ1,13,control,Upsetting to see and painful to look at,7
A11244HS4DZOVL,13,motivation,"That kid looks hurt, but i'm glad to see someone is there to take care of him.",7
A1143GKN5T807X,12,reappraisal & motivation,Hopefully this child is receiving the best treatment ever.,7
A1154EZYFNAZUS,17,reappraisal,This baby has been injured and they are trying to dress the wound.,7
A117NCPBK9USJL,13,reappraisal,"Poor child, I really hope he makes it in life. Very sad. IDK what happened.",7
A08218322NEN84JFHLRO8,15,reappraisal,afraid he looks like he is on a rampage to kill,8
A10FNV58WR3D0G,6,reappraisal & motivation,This could be an actor in a horror movie scene.,8
A10NDRBWGT78R2,12,control,this man got fucked up. He looks drunk maybe he got beat up,8
A10WZ8GK49KCJ1,4,control,I feel upset but not that bad,8
A11244HS4DZOVL,2,motivation,I think this man is having a bad day but lucky to be alive.,8
A1143GKN5T807X,19,reappraisal & motivation,Crap!  I can't believe the ketchup bottle exploded like that.,8
A1154EZYFNAZUS,20,reappraisal,He looks horrified and injured. Something bad likely happened.,8
A117NCPBK9USJL,18,reappraisal,"assassination attempt, didn't work. now he's mad and coming after his assailant.",8
A118KQORTQPWYY,12,control,I am hopeful this man can get help since he is alert,8
A11FHRIUGW7NFB,1,control,I am shocked at how much blood he is losing and fearful of what happened,8
A08218322NEN84JFHLRO8,3,reappraisal,FEar for my life,9
A094612415T5EHTYKXTQ,7,reappraisal,Definitely scary and unpredictable to be faced with such anger.,9
A10FNV58WR3D0G,16,reappraisal & motivation,This is a close-up from a scene in a crime movie...harmless.,9
A10LHWALI4BZPC,3,reappraisal,I would be very scared to have this pointed at me.,9
A10NDRBWGT78R2,11,control,held up at gun point. duck run or hide,9
A10WZ8GK49KCJ1,2,control,I imagine what it would be like to be looking at this in real life. How scared i would be,9
A11244HS4DZOVL,9,motivation,This is a cool image actually. Nobody is hurt or injured.,9
A1143GKN5T807X,18,reappraisal & motivation,Stick'em up!,9
A1154EZYFNAZUS,15,reappraisal,Looks like he intends violence. But it could be the cover of a movie.,9
A117NCPBK9USJL,14,reappraisal,You won't do it. You don't have it in you. Look at your eyes little boy.,9
A08218322NEN84JFHLRO8,12,reappraisal,angure for their life. a kidnapping,10
A094612415T5EHTYKXTQ,11,reappraisal,Those classes paid off.,10
A10FNV58WR3D0G,8,reappraisal & motivation,This could be a self-defense video.,10
A10G8U9316K46H,4,control,"aw i feel bad for them, that looks painful",10
A10NDRBWGT78R2,19,control,attempting kidnapping. always was my biggest fear growing up,10
A10WZ8GK49KCJ1,10,control,I don't feel much of anything. Hard to see what's going on,10
A11244HS4DZOVL,10,motivation,It looks like they could be playing or fake wrestling. Maybe its not what it appears to be.,10
A1143GKN5T807X,3,reappraisal & motivation,They are playfully wrestling...big brothers are so fun.,10
A1154EZYFNAZUS,4,reappraisal,It looks like he is trying to kidnap her.,10
A117NCPBK9USJL,10,reappraisal,No means no dude! She's not interested! I'd punch him.,10
A08218322NEN84JFHLRO8,18,reappraisal,fun watching a fight on tv ha,11
A094612415T5EHTYKXTQ,14,reappraisal,I took this punch like a pro.  It only hurt for a few days.,11
A10FNV58WR3D0G,9,reappraisal & motivation,"This is a scene from the movie ""raging bull.""",11
A10G8U9316K46H,5,control,"they look abused, hope they find help",11
A10NDRBWGT78R2,7,control,boxing matches are exciting but scary thriller also. hurt,11
A10WZ8GK49KCJ1,20,control,"I feel bad for the guy getting hit, but that's boxing",11
A11244HS4DZOVL,6,motivation,"It looks like a bad hit, but it looks like a planned event so they knew what the risks were for participating.",11
A1143GKN5T807X,6,reappraisal & motivation,"If you this looks bad, you see the other guy.",11
A1154EZYFNAZUS,14,reappraisal,"A boxing match, but this guy is getting hurt.",11
A117NCPBK9USJL,19,reappraisal,"THAT WAS A REAL SLOBBER KNOCKER, J R! Ouch. 2 participants checked out",11
A08218322NEN84JFHLRO8,14,reappraisal,"scarey for this persons life, i hope this is a stunt",12
A094612415T5EHTYKXTQ,16,reappraisal,"Hopefully, he was wearing protective gear.",12
A10FNV58WR3D0G,5,reappraisal & motivation,This is most likely a stunt.,12
A10LHWALI4BZPC,9,reappraisal,"I hope he's wearing a firesuit, otherwise this is very painful and deadly.",12
A10NDRBWGT78R2,20,control,fire stop drop and roll get off that bike fast buddy,12
A10WZ8GK49KCJ1,6,control,This is hard to look at. I can't imagine what that person feels like,12
A11244HS4DZOVL,3,motivation,This looks terrible and painful. I would not want to be this guy. But maybe it is a planned stunt.,12
A1143GKN5T807X,4,reappraisal & motivation,Wow what a cool image.  Fire-retardant clothes are amazing.,12
A1154EZYFNAZUS,6,reappraisal,"A stunt, maybe, but that is pretty extreme.",12
A117NCPBK9USJL,9,reappraisal,"me irl trying to get through the day. life is pain, but you keep going.",12
A08218322NEN84JFHLRO8,5,reappraisal,Pain why would do this for vanity or your culture,13
A094612415T5EHTYKXTQ,15,reappraisal,I'm going to regret that last beer.,13
A10FNV58WR3D0G,13,reappraisal & motivation,This is traditional jewelry for the men of this tribe.,13
A10G8U9316K46H,10,control,"this looks like kidnapping, hope they are okay now",13
A10NDRBWGT78R2,16,control,cultures are all unique. Possibly a traditional cerem,13
A10WZ8GK49KCJ1,8,control,This is strange but not really upsetting. It looks intentional,13
A11244HS4DZOVL,20,motivation,"This is disgusting. A terrible punishment, but he seems okay for the most part.",13
A1143GKN5T807X,9,reappraisal & motivation,Is this special effects for a movie?  That takes real talent.,13
A1154EZYFNAZUS,16,reappraisal,That looks painful! And he looks like he is crying.,13
A117NCPBK9USJL,17,reappraisal,You're really stupid. Why do that to yourself?,13
A08218322NEN84JFHLRO8,20,reappraisal,fear and sadness for these peoples lives,14
A094612415T5EHTYKXTQ,4,reappraisal,Horrible and scary.,14
A10FNV58WR3D0G,19,reappraisal & motivation,"Amazing, everyone survived!",14
A10G8U9316K46H,8,control,"this is very disturbing, hope they are doing fine.",14
A10LHWALI4BZPC,1,reappraisal,It looks like a plane crash. Hopefully everyone is okay and nobody died.,14
A10NDRBWGT78R2,4,control,plane crash are scary. reminds me of 9/11 maybe,14
A10WZ8GK49KCJ1,18,control,I feel terrible as this looks like a deadly airplane crash,14
A11244HS4DZOVL,19,motivation,It looks like people were able to escape from this plane. Hopefully nobody died.,14
A1143GKN5T807X,13,reappraisal & motivation,Thank God they all got out.,14
A1154EZYFNAZUS,1,reappraisal,A tragedy occurred here. People a,14
A08218322NEN84JFHLRO8,8,reappraisal,fear of being burned up int his deadly fire,15
A094612415T5EHTYKXTQ,5,reappraisal,This is what will kill us all.  Poisonous!,15
A10FNV58WR3D0G,4,reappraisal & motivation,This is a clean-up from a chemical fire to help th,15
A10G8U9316K46H,6,control,"this is seriously pretty awful, feeling sad",15
A10NDRBWGT78R2,3,control,"natural disaster, bush fires are scary horrible",15
A10WZ8GK49KCJ1,5,control,This looks frightening to be around,15
A11244HS4DZOVL,14,motivation,This looks like a movie set. At least people have protective gear and seem to be doing okay.,15
A1143GKN5T807X,20,reappraisal & motivation,I loved this scene from my favorite movie.,15
A1154EZYFNAZUS,7,reappraisal,They are cleaning up hazardous waste. Look at the suits. Can't be good.,15
A117NCPBK9USJL,7,reappraisal,hey bro you stepped in some dog p,15
A08218322NEN84JFHLRO8,1,reappraisal,I feel fear for this man in this whole is he dead,16
A094612415T5EHTYKXTQ,20,reappraisal,This is what is normal in that land.,16
A10FNV58WR3D0G,1,reappraisal & motivation,This could be the cultural way to bury their dea,16
A10NDRBWGT78R2,8,control,burrying a dead body back in the day. never forget this pt,16
A10WZ8GK49KCJ1,16,control,"I feel bad, someone had clearly died and being burried",16
A11244HS4DZOVL,11,motivation,"I think that this could be a set and not real, but if it is I feel sad for this man. At least he can be burried.",16
A1143GKN5T807X,1,reappraisal & motivation,This man is saving his family the expense of a funeral.,16
A1154EZYFNAZUS,12,reappraisal,They are burying a body in a shallow grave.,16
A117NCPBK9USJL,2,reappraisal,"Burning a man alive, unmarked grave, very sad.",16
A118KQORTQPWYY,8,control,I hope this man is ok.  I am scared for him,16
A08218322NEN84JFHLRO8,2,reappraisal,I feel sad and afraid for this man life. DId he get hit,17
A094612415T5EHTYKXTQ,10,reappraisal,This makes me want to chug up breakfast.  The dog licking the blood.,17
A10FNV58WR3D0G,14,reappraisal & motivation,His family can rest now that they have sen him,17
A10LHWALI4BZPC,4,reappraisal,Poor family and person. He was clearly murdered.,17
A10NDRBWGT78R2,6,control,finding a murdered person on the side of the road,17
A10WZ8GK49KCJ1,15,control,Very sick looking at this. Horrible image to see,17
A11244HS4DZOVL,17,motivation,I think this is a bad image. They need to get him help. Maybe it was an accident.,17
A1143GKN5T807X,16,reappraisal & motivation,Did he spill his red koolaid when he fell?,17
A1154EZYFNAZUS,8,reappraisal,Something violent has happened here. There is a lot of blood.,17
A117NCPBK9USJL,5,reappraisal,Even the dog looks upset. I wonder if those people are his family. T,17
A08218322NEN84JFHLRO8,13,reappraisal,sadness they look homeless or funny being bad,18
A094612415T5EHTYKXTQ,2,reappraisal,Children are always the suffers of war.,18
A10FNV58WR3D0G,2,reappraisal & motivation,This could be from working to earn money.,18
A10G8U9316K46H,1,control,this looks pretty painful and the baby looks sad,18
A10LHWALI4BZPC,8,reappraisal,"Is this war, or were they trespassing in a mine?",18
A10NDRBWGT78R2,2,control,bad kids in the neighborhood. Need a bath maybe neglected,18
A10WZ8GK49KCJ1,11,control,I feel sad knowing these kids are going through a tough time,18
A11244HS4DZOVL,1,motivation,I think this children will have a hard life but it can get,18
A1143GKN5T807X,17,reappraisal & motivation,That was a cool scene from that movie.,18
A1154EZYFNAZUS,18,reappraisal,They look sad and dirty.,18
A08218322NEN84JFHLRO8,9,reappraisal,san and afraid for the lives of the people who were in this car,19
A094612415T5EHTYKXTQ,12,reappraisal,"If we work as a team, we can clean this up in no time.",19
A10FNV58WR3D0G,18,reappraisal & motivation,Maybe the passenger(s) survived.,19
A10NDRBWGT78R2,13,control,"horrible, car accidents kill. drunk driver. maybe drugs involve",19
A10WZ8GK49KCJ1,3,control,I feel sad knowing that people would be killed or injured,19
A11244HS4DZOVL,8,motivation,"Good thing rescue workers are there and their is no body, hopefully everyone turned out okay.",19
A1143GKN5T807X,2,reappraisal & motivation,It looks as if everyone got out ok.  I do not see any injured people.,19
A1154EZYFNAZUS,2,reappraisal,Horrific a terrible car accident!,19
A117NCPBK9USJL,20,reappraisal,how I feel after Daddy and Amy get paid for not participating. Gruesome wreck.,19
A118KQORTQPWYY,13,control,This gives me the chills.  Looks fatal and no chance of survival.,19
A08218322NEN84JFHLRO8,16,reappraisal,fear and sadness for the lives of these people in,20
A094612415T5EHTYKXTQ,3,reappraisal,American heroes.  They risk their lives eve,20
A10FNV58WR3D0G,15,reappraisal & motivation,"The woman has been saved from sure death, this is a happy",20
A10LHWALI4BZPC,5,reappraisal,"She looks dead, they weren't able to save her in time.",20
A10NDRBWGT78R2,9,control,firefighters face alot of stress saving people hero,20
A10WZ8GK49KCJ1,7,control,This is very upsetting to see. I feel terrible seeing this,20
A11244HS4DZOVL,4,motivation,"Maybe this is a training exercise and it isn't real, but it does look bad.",20
A1143GKN5T807X,10,reappraisal & motivation,Firefighters are heroes.  They inspire me.,20
A1154EZYFNAZUS,9,reappraisal,She looks injured. A fire is happening. THIS C,20
A117NCPBK9USJL,15,reappraisal,"I really don't know what to say, I hope they saved her. She looks already dead.",20
